Species,F.SDF,F.SSDF,F.SF,F.IF,F.PR,F.SL,F.GR,F.PA,F.SC,F.PH,EP.EF,EP.I,EP.EZ,EP.D,EP.P,AM.SW,AM.CR,AM.BU,AM.SE,DT.C,DT.H,DT.D,DT.PH,LD.D,LD.L,LD.P,SD.G,SD.HSEQ,SD.HSYN,AL,MA,FEC,MSG,ADP
Solea.solea,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,6,4,6,5,6
Solea.Solea,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,6,4,6,5,6
Spirobranchus.triqueter,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.5,0,0,0,1,0,0,1,3,1,6,2,1
Spondyliosoma.cantharus,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,1,1,0,0,0,0.333333333,0.333333333,0.333333333,0,0,1,0,0,1,0,3,3,5,5,6
Stolonica.socialis,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0,0,1,0,1,0,0,2,1,3,2,1
Styela.clava,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0,0,1,0,0.5,0,0.5,2,1,3,3,1
Suberites.spp.,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0,1,0,0,0,0,1,3,1,3,3,1
Sycon.ciliatum,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0,0.5,0.5,0,0,0,1,3,1,3,3,1
Symphodus.melops,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,3,4,5,4,6
Syngnathus.acus,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,3,2,3,4,4
Tethya.aurantium,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0,0.5,0.5,0,0,0,1,3,1,3,3,1
Trachurus.trachurus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,6,3,5,5,6
Triakidae.spp,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,6,5,2,6,6
Trisopterus.luscus,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,3,2,4,4,6
Trisopterus.minutus,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,3,2,4,4,6
Tritia.reticulata,0,0,0,0,0,0,0.5,0,0.5,0,1,0,0,0,0,0,0.5,0.5,0,0.25,0.25,0.5,0,0,1,0,1,0,0,5,4,4,2,5
Turritella.communis,0.25,0.25,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0.5,0,0.333333333,0.333333333,0.333333333,0,0,1,0,1,0,0,3,2,5,2,3
Unidentified.crab,0,0,0,0,0.5,0,0,0,0.5,0,1,0,0,0,0,0,1,0,0,0.333333333,0.333333333,0.333333333,0,0,0,1,1,0,0,2,1,3,2,3
Urticina.felina,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0.5,1,0,0,0,0,1,0,1,0,0,6,2,2,3,1
Xantho.hydrophilus,0,0,0,0,0.333333333,0,0.333333333,0,0.333333333,0,1,0,0,0,0,0,1,0,0,0.333333333,0.333333333,0.333333333,0,0,0,1,1,0,0,3,2,4,2,3
Xantho.spp.,0,0,0,0,0.333333333,0,0.333333333,0,0.333333333,0,1,0,0,0,0,0,1,0,0,0.333333333,0.333333333,0.333333333,0,0,0,1,1,0,0,3,2,4,2,3
Zeus.faber,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,4,3,5,5,6
